DBCORP,EQ,401.95,05/05/17,336.65,22/12/17,42860,43091
DBL,EQ,1059,27/12/17,228.95,11/01/17,43096,42746
DBREALTY,EQ,86,11/01/18,32.15,11/08/17,43111,42958
DBSTOCKBRO,EQ,13.6,16/01/17,8.45,01/08/17,42751,42948
DCAL,EQ,367.5,21/09/17,274.95,17/11/17,42999,43056
DCBBANK,EQ,213,16/06/17,113.5,11/01/17,42902,42746
DCM,EQ,152.8,17/05/17,103.65,19/12/17,42872,43088
DCMSHRIRAM,EQ,628,19/12/17,256.3,12/01/17,43088,42747
DCW,BE,55.45,30/10/17,28.95,10/07/17,43038,42926
DECCANCE,EQ,660,05/01/18,485.55,11/01/17,43105,42746
DEEPAKFERT,EQ,500.4,03/11/17,227.15,11/01/17,43042,42746
DEEPAKNTR,EQ,295,09/01/18,96.9,15/02/17,43109,42781
DEEPIND,EQ,343.1,30/03/17,192,11/08/17,42824,42958
DELTACORP,EQ,323.9,26/12/17,112.3,16/02/17,43095,42782
DELTAMAGNT,BE,84.95,08/01/18,32.75,23/08/17,43108,42970
DEN,EQ,117.9,20/12/17,70.2,11/01/17,43089,42746
DENABANK,EQ,50.1,09/05/17,23.55,18/12/17,42864,43087
DENORA,EQ,332,13/07/17,211.3,14/03/17,42929,42808
DFMFOODS,EQ,2144.95,23/01/17,1120,08/06/17,42758,42894
DHAMPURSUG,EQ,330.5,01/11/17,161.35,20/01/17,43040,42755
DHANBANK,EQ,44.95,17/05/17,23.5,17/02/17,42872,42783
DHANUKA,EQ,929.8,02/05/17,629.4,02/11/17,42857,43041
DHARSUGAR,EQ,43,13/11/17,20.85,23/08/17,43052,42970
DHFL,EQ,679,03/11/17,255.6,11/01/17,43042,42746
DHUNINV,EQ,546,11/01/18,161.3,15/02/17,43111,42781
DIAMONDYD,EQ,1415,14/12/17,1133.7,05/10/17,43083,43013
DIAPOWER,EQ,50.5,31/01/17,15.7,22/11/17,42766,43061
DICIND,EQ,624.9,05/01/18,434,01/06/17,43105,42887
DIGJAMLTD,BE,22.75,04/12/17,10.3,11/08/17,43073,42958
DISHTV,EQ,111,30/03/17,68,24/10/17,42824,43032
DIVISLAB,EQ,1142,27/12/17,532.65,29/05/17,43096,42884
DIXON,EQ,4494,26/12/17,2506.35,25/09/17,43095,43003
DLF,EQ,273.85,11/01/18,122.4,13/01/17,43111,42748
DLINKINDIA,EQ,153.9,10/04/17,83,10/08/17,42835,42957
DMART,EQ,1288.65,13/10/17,558.3,21/03/17,43021,42815
DNAMEDIA,EQ,14.4,03/01/18,6.75,20/12/17,43103,43089
DOLLAR,EQ,514.75,09/01/18,262.8,21/04/17,43109,42846
DOLPHINOFF,EQ,158.2,11/01/18,72.2,11/08/17,43111,42958
DONEAR,BE,89.5,27/11/17,47.9,11/08/17,43066,42958
DPL,EQ,192,11/01/18,74.2,10/03/17,43111,42804
DPSCLTD,EQ,48.6,16/01/17,29.2,26/12/17,42751,43095
DQE,BE,25.8,07/04/17,11,11/08/17,42832,42958
DREDGECORP,EQ,922,08/01/18,438.25,23/01/17,43108,42758
DRREDDY,EQ,3177,06/02/17,1901.15,11/08/17,42772,42958
DSKULKARNI,BE,69.8,17/04/17,16.15,17/11/17,42842,43056
DSSL,EQ,66,02/01/18,16.1,24/03/17,43102,42818
DTIL,BE,485.15,11/01/18,260.55,25/09/17,43111,43003
DUCON,EQ,82.45,11/01/17,27.25,21/06/17,42746,42907
DWARKESH,EQ,759.75,07/08/17,44,29/12/17,42954,43098
DYNAMATECH,EQ,3340.45,06/02/17,1920,18/12/17,42772,43087
DYNPRO,BE,211.4,26/12/17,102,10/08/17,43095,42957
EASTSILK,EQ,8.7,09/08/17,2.05,25/05/17,42956,42880
EASUNREYRL,BE,38.4,25/04/17,15.05,13/11/17,42850,43052
EBANK,EQ,3100,01/12/17,1760,13/04/17,43070,42838
ECEIND,EQ,430,29/12/17,190.55,07/08/17,43098,42954
ECLERX,EQ,1595.4,01/01/18,1161,25/09/17,43101,43003
EDELWEISS,EQ,309.1,03/11/17,96.85,11/01/17,43042,42746
